location_id,city_name,country,country_code,admin1,latitude,longitude,timezone,elevation,population,extracted_at
900042,Ourense,Spain,ES,Ourense,42.3358,-7.8639,Europe/Madrid,139,104835,2026-06-08T19:40:40+00:00
900043,Pontevedra,Spain,ES,Pontevedra,42.4316,-8.6444,Europe/Madrid,13,83260,2026-06-08T19:40:40+00:00
900044,Logroño,Spain,ES,La Rioja,42.4627,-2.4449,Europe/Madrid,384,151113,2026-06-08T19:40:40+00:00
900045,Madrid,Spain,ES,Madrid,40.4168,-3.7038,Europe/Madrid,667,3223334,2026-06-08T19:40:40+00:00
900046,Murcia,Spain,ES,Murcia,37.9922,-1.1307,Europe/Madrid,43,459403,2026-06-08T19:40:40+00:00
900047,Pamplona,Spain,ES,Navarra,42.8125,-1.6458,Europe/Madrid,446,203944,2026-06-08T19:40:40+00:00
900048,Bilbao,Spain,ES,Bizkaia,43.2630,-2.9350,Europe/Madrid,19,346405,2026-06-08T19:40:40+00:00
900049,Donostia-San Sebastián,Spain,ES,Gipuzkoa,43.3183,-1.9812,Europe/Madrid,5,187415,2026-06-08T19:40:40+00:00
900050,Vitoria-Gasteiz,Spain,ES,Araba,42.8467,-2.6716,Europe/Madrid,525,253672,2026-06-08T19:40:40+00:00
900051,Ceuta,Spain,ES,Ceuta,35.8894,-5.3213,Europe/Madrid,11,83517,2026-06-08T19:40:40+00:00
900052,Melilla,Spain,ES,Melilla,35.2923,-2.9381,Europe/Madrid,47,84689,2026-06-08T19:40:40+00:00
900053,Vigo,Spain,ES,Pontevedra,42.2406,-8.7207,Europe/Madrid,15,293837,2026-06-08T19:40:40+00:00
900054,Gijón,Spain,ES,Asturias,43.5453,-5.6619,Europe/Madrid,3,268296,2026-06-08T19:40:40+00:00
900055,Marbella,Spain,ES,Málaga,36.5108,-4.8856,Europe/Madrid,27,147958,2026-06-08T19:40:40+00:00
900056,Cartagena,Spain,ES,Murcia,37.6257,-0.9966,Europe/Madrid,10,216108,2026-06-08T19:40:40+00:00
900057,Ibiza,Spain,ES,Illes Balears,38.9089,1.4321,Europe/Madrid,5,50643,2026-06-08T19:40:40+00:00
900058,Jerez de la Frontera,Spain,ES,Cádiz,36.6850,-6.1261,Europe/Madrid,56,213105,2026-06-08T19:40:40+00:00
